Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1870:1:16:0 -0.23728 -0.96828 0.318795 0.0874624
1870:2:16:0 -0.893469 -0.677759 0.188746 -0.648963
1870:3:16:0 -0.708892 -0.353176 0.182843 -0.623725
1870:4:16:0 -0.729457 -0.333903 0.00832393 -0.566668
1870:5:16:0 -0.798636 -0.602568 -0.107019 -0.443843
1870:6:16:0 -0.812835 -0.847315 -0.239312 -0.269521
1870:7:16:0 -0.701562 -0.794655 -0.250212 -0.179129
1870:8:16:0 -0.613226 -0.698937 -0.0724765 -0.227519
1870:9:16:0 -0.161926 -0.789091 -0.163697 0.314468
1870:10:16:0 -0.241241 -1.09696 -0.0984815 0.356479
1870:11:16:0 -0.318294 -0.930987 -0.024564 0.159481
1870:12:16:0 -0.433538 -0.798066 -0.132561 0.0317757
1871:1:16:0 -0.309344 -0.312307 -0.0440621 -0.131159
1871:2:16:0 -0.318567 -0.269704 -0.0629252 -0.152252
1871:3:16:0 -0.311773 -0.355261 -0.0120959 -0.128095
1871:4:16:0 -0.182046 -0.299901 -0.000404941 -0.0318928
1871:5:16:0 -0.424299 -0.489664 0.0244992 -0.191717
1871:6:16:0 -0.371856 -0.255491 -0.0362482 -0.225987
1871:7:16:0 -0.432853 -0.14835 -0.0157224 -0.350817
1871:8:16:0 -0.202048 -0.157712 -0.0852032 -0.0805901
1871:9:16:0 -0.11564 -0.331443 -0.304193 0.202178
1871:10:16:0 -0.159289 -0.30265 -0.342208 0.16314
1871:11:16:0 -0.20353 -0.247411 -0.0321217 -0.0637637
1871:12:16:0 -0.413273 -0.571311 0.0245369 -0.139886
1872:1:16:0 -0.456903 -0.736411 0.0703655 -0.123881
1872:2:16:0 -0.405463 -0.796786 0.0573251 -0.0357324
1872:3:16:0 -0.258546 -0.693436 0.0862359 0.0450543
1872:4:16:0 -0.523915 -0.668828 -0.0257702 -0.176616
1872:5:16:0 -0.415721 -0.640658 0.0220342 -0.106409
1872:6:16:0 -0.450451 -0.540723 0.064582 -0.21238
1872:7:16:0 -0.337741 -0.4097 0.176007 -0.220894
1872:8:16:0 -0.682499 -0.610015 0.332454 -0.543718
1872:9:16:0 -0.709763 -0.593903 0.37792 -0.601771
1872:10:16:0 -0.587157 -0.83972 0.149393 -0.241994
1872:11:16:0 -0.475622 -0.640718 0.120253 -0.215389
1872:12:16:0 -0.616049 -0.720942 0.171117 -0.341136
1873:1:16:0 -0.520091 -0.736433 0.27188 -0.287814
1873:2:16:0 -0.701996 -0.970164 0.114201 -0.274015
1873:3:16:0 -0.831278 -1.3661 0.0886629 -0.192561
1873:4:16:0 -0.505826 -0.758435 0.0873109 -0.170264
1873:5:16:0 -0.331311 -0.831332 0.0378266 0.0654415
1873:6:16:0 -0.529451 -0.471545 -0.0749444 -0.256206
1873:7:16:0 -0.467159 -0.336042 0.0254061 -0.311841
1873:8:16:0 -0.361714 -0.379552 -0.0135241 -0.165176
1873:9:16:0 -0.29517 -0.677092 -0.035429 0.0610903
1873:10:16:0 -0.534446 -0.995278 -0.114334 0.0203598
1873:11:16:0 -0.50395 -0.997976 -0.115296 0.0526857
1873:12:16:0 -0.372864 -0.930256 -0.24087 0.212699
1874:1:16:0 -0.433543 -1.02284 0.0157794 0.0699867
1874:2:16:0 -0.571004 -1.18322 0.0103763 0.0154179
1874:3:16:0 -0.819668 -1.01209 0.112682 -0.369965
1874:4:16:0 -0.515966 -0.890235 0.104134 -0.122916
1874:5:16:0 -0.487924 -0.359403 -0.0602314 -0.278106
1874:6:16:0 -0.448809 -0.635553 0.0139157 -0.13799
1874:7:16:0 -0.530097 -0.782222 0.0610836 -0.169528
1874:8:16:0 -0.617615 -0.981262 0.00713551 -0.130552
1874:9:16:0 -0.839866 -0.822652 -0.0142249 -0.421427
1874:10:16:0 -0.945369 -0.821773 -0.165919 -0.451522
1874:11:16:0 -0.941738 -0.70075 -0.156197 -0.513264
1874:12:16:0 -0.784804 -0.699275 -0.0166183 -0.426858
1875:1:16:0 -0.435168 -0.505433 -0.0585926 -0.153155
1875:2:16:0 -0.279289 -0.379626 -0.187486 0.00426719
1875:3:16:0 -0.42181 -0.498085 -0.19483 -0.075353
1875:4:16:0 -0.729184 -0.476228 -0.0920842 -0.445028
1875:5:16:0 -0.857798 -0.894562 0.126378 -0.473706
1875:6:16:0 -0.766715 -0.687623 -0.185369 -0.330218
1875:7:16:0 -0.88243 -1.02865 -0.19885 -0.268679
1875:8:16:0 -0.839914 -0.783432 -0.0695557 -0.413421
1875:9:16:0 -0.807789 -0.813327 0.0485573 -0.425404
1875:10:16:0 -0.601968 -0.86934 0.0688857 -0.201741
1875:11:16:0 -0.327865 -0.910117 0.13473 0.0598282
1875:12:16:0 -0.551156 -1.07625 -0.046745 0.0103424
1876:1:16:0 -0.629322 -1.26392 0.056514 -0.0256197
1876:2:16:0 -0.711278 -1.28454 0.136376 -0.137194
1876:3:16:0 -0.509225 -1.11212 0.174884 -0.0406089
1876:4:16:0 -0.671592 -1.16024 0.0670742 -0.125011
1876:5:16:0 -0.564415 -1.02505 -0.116831 0.00652307
1876:6:16:0 -0.345781 -0.722097 -0.535318 0.282926
1876:7:16:0 -0.362424 -0.396301 -0.518417 0.0949352
1876:8:16:0 -0.212858 -0.29295 -0.438492 0.152863
1876:9:16:0 -0.148488 -0.0349395 -0.45081 0.0943863
