 Hurrell Station-Based Seasonal NAO Index
       DJF   JFM   FMA   MAM   AMJ   MJJ   JJA   JAS   ASO   SON   OND   NDJ
1865  -1.5  -0.9  -0.8  -0.1  -0.4  -0.1   0.9   2.0   0.2  -1.0  -0.9   0.3
1866   1.1   0.5  -0.6  -2.4  -2.2  -1.0   0.2   1.1   0.9   0.5  -0.3  -2.3
1867  -1.2  -3.3  -1.0  -4.0  -1.0  -3.5  -0.0   0.8   2.9  -0.6  -0.9  -1.2
1868   2.1   3.7   4.7   4.5   3.9   3.4   2.8  -0.7   1.5  -0.4   0.5  -0.3
1869   2.0   2.1   1.7  -1.0  -2.6  -2.8  -1.7  -0.8  -1.5  -0.0   0.0   0.9
1870  -1.4  -2.2  -2.6  -0.3   1.6   1.4  -1.3  -1.3  -0.7  -0.8  -2.4  -1.2
1871  -0.4   1.3  -0.7  -1.3  -3.0  -1.0  -0.1  -0.9  -0.9  -2.9  -0.9  -0.2
1872   0.6  -0.3  -1.3  -0.7   0.3  -0.3  -2.1  -3.3  -0.8   0.5   0.6   0.8
1873   0.2   1.0  -1.0  -1.2  -1.9   0.4   2.6   0.1   1.3  -1.2   0.2   0.4
1874   1.6   1.7   1.8   1.1   0.6  -0.4   0.9   1.7   2.3   1.5   0.7  -0.5
1875  -1.0  -1.3  -1.8  -0.5   1.6   2.7   0.5  -2.2  -1.2  -2.7  -1.9  -1.2
1876  -0.2   0.3  -0.3   0.4   1.7   3.2   3.0  -1.2  -3.0  -5.9  -4.3  -2.6
1877   0.2   1.1  -0.4  -2.7  -3.8  -1.2  -2.2  -4.0  -3.7   0.1   2.6   2.6
1878   1.2   0.2  -1.1  -1.5  -3.0  -1.0  -2.2  -0.9  -1.8  -2.5  -5.4  -4.7
1879  -2.4   0.6   1.2   1.5   0.1   0.1  -1.3   1.3   1.0  -1.6  -2.9  -2.9
1880  -0.4   0.4   1.4   0.8   0.5  -2.0  -1.9  -2.4  -3.9  -2.6  -2.9  -4.4
1881  -4.7  -4.7  -2.7  -2.4  -0.3   2.0   1.0  -0.9  -2.0  -0.6   1.9   2.7
1882   2.1   2.5   2.0   1.5  -1.5   0.0   1.2   2.1   1.2   2.0   0.2   0.5
1883   1.2   0.7   0.8  -0.6   0.5  -1.5  -1.8  -0.9   1.8   2.5   2.5   1.6
1884   1.1   1.4   0.4   0.0  -0.8  -0.6  -0.3  -0.0   2.0   0.7   1.2   0.3
1885  -0.4  -0.7  -0.2   0.7   0.8   0.1  -1.3  -1.0  -1.2  -0.2  -1.5  -1.0
1886  -0.5  -0.4  -1.1  -1.8  -1.2  -0.0   2.3   1.1   1.1   1.0   1.0   1.6
1887   1.4   0.6  -1.7  -2.9  -2.9  -0.9  -2.4  -1.7  -3.5  -3.1  -3.6  -2.8
1888  -3.0  -2.4  -2.2  -2.1  -2.1  -2.6  -2.0  -2.7  -3.6  -1.6   0.6   2.5
1889   1.5   0.6   0.8   1.1   2.4  -0.1   0.3  -1.5   0.6   1.2   3.1   3.8
1890   2.3   1.8   1.4   2.2   1.7   1.1   2.0   1.9   1.1   2.5   0.9   1.0
1891   0.2   0.0  -0.7  -2.0  -3.5  -3.8  -3.3  -0.0   1.7   1.4   1.5   1.2
1892  -0.0  -1.4  -2.2  -2.3  -2.4  -2.3  -1.1   1.2  -1.1  -0.4  -1.8  -1.7
1893  -1.3  -0.9   0.2  -0.9  -2.1  -2.1  -2.8  -0.4  -0.1  -0.6   0.3   0.5
1894   3.1   2.8   3.7   1.8   2.1   1.5   2.2  -1.8  -3.9  -2.1   0.1   0.2
1895  -3.5  -3.2  -3.0   0.6  -0.4   0.2  -0.4  -0.0  -2.0  -2.1  -1.8  -1.1
1896  -0.2   1.2   3.0   3.7   2.1   1.4   0.7   1.0  -1.7  -2.1  -0.5  -0.4
1897   0.6   0.3   2.7   2.6   1.2  -1.7  -1.2   0.8  -0.5  -1.2  -0.9   0.8
1898   1.6   1.1   1.3   0.3   0.2  -2.1  -0.9  -0.5  -0.5  -0.3   0.4  -0.2
1899  -1.5  -2.5  -2.4  -2.3  -0.2   0.8   0.5   0.5  -1.7  -0.3  -1.1   1.0
1900  -1.2  -1.7  -2.9  -0.8   0.6  -0.4  -0.6   1.2   1.1   2.4   1.7   1.6
1901  -1.1  -1.9  -1.8  -0.5   0.7   0.4   2.0   1.8   2.4   0.1  -0.3  -1.2
1902  -1.8  -1.4  -2.2  -0.1  -2.8  -2.8  -4.2  -3.2  -1.4  -0.7   0.5   0.3
1903   1.3   2.8   3.1   3.1  -1.2  -1.4  -1.9  -0.2  -0.6  -0.2   0.3   1.8
