"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-01","1997","01","01","","","","","","","","","","","","0.0","T","0.0","T","0.0","T","53","","","","",""
"1997-01-02","1997","01","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-03","1997","01","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-04","1997","01","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-05","1997","01","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-06","1997","01","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-07","1997","01","07","","","","","","","","","","","","0.0","","4.0","","4.0","","","M","","","",""
"1997-01-08","1997","01","08","","","","","","","","","","","","0.0","","6.0","","6.0","","","M","","","",""
"1997-01-09","1997","01","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-10","1997","01","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-11","1997","01","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-12","1997","01","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-13","1997","01","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-14","1997","01","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-15","1997","01","15","","","","","","","","","","","","0.0","","1.0","","1.0","","","M","","","",""
"1997-01-16","1997","01","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-17","1997","01","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-18","1997","01","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-19","1997","01","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-20","1997","01","20","","","","","","","","","","","","0.0","","5.0","","5.0","","","M","","","",""
"1997-01-21","1997","01","21","","","","","","","","","","","","0.0","","5.0","","5.0","","","M","","","",""
"1997-01-22","1997","01","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-23","1997","01","23","","","","","","","","","","","","0.0","","1.0","","1.0","","","M","","","",""
"1997-01-24","1997","01","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-25","1997","01","25","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-26","1997","01","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-27","1997","01","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-28","1997","01","28","","","","","","","","","","","","0.0","","3.0","","3.0","","","M","","","",""
"1997-01-29","1997","01","29","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-01-30","1997","01","30","","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M","","","",""
"1997-01-31","1997","01","31","","","","","","","","","","","","0.0","","0.0","","0.0","","78","","","","",""
"1997-02-01","1997","02","01","","","","","","","","","","","","0.0","","0.0","","0.0","","78","","","","",""
"1997-02-02","1997","02","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-03","1997","02","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-04","1997","02","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-05","1997","02","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-06","1997","02","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-07","1997","02","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-08","1997","02","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-09","1997","02","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-10","1997","02","10","","","","","","","","","","","","0.0","","1.0","","1.0","","","M","","","",""
"1997-02-11","1997","02","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-12","1997","02","12","","","","","","","","","","","","0.0","","1.0","","1.0","","","M","","","",""
"1997-02-13","1997","02","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-14","1997","02","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-15","1997","02","15","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"1997-02-16","1997","02","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-17","1997","02","17","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"1997-02-18","1997","02","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-19","1997","02","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-20","1997","02","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-21","1997","02","21","","","","","","","","","","","","0.0","","2.0","","2.0","","","M","","","",""
"1997-02-22","1997","02","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-23","1997","02","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-24","1997","02","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-25","1997","02","25","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-26","1997","02","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-27","1997","02","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-02-28","1997","02","28","","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"1997-03-01","1997","03","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-03-02","1997","03","02","","","","","","","","","","","","0.0","","8.0","","8.0","","","M","","","",""
"1997-03-03","1997","03","03","","","","","","","","","","","","0.0","","2.0","","2.0","","","M","","","",""
"1997-03-04","1997","03","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-03-05","1997","03","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-03-06","1997","03","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-03-07","1997","03","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"1997-03-08","1997","03","08","","","","","","","","","","","","0.0","","9.0","","9.0","","","M","","","",""
