"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","","","","","","","","","","","","0.0","","10.0","","10.0","","","","","","",""
"2005-01-02","2005","01","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-03","2005","01","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-04","2005","01","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-05","2005","01","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-06","2005","01","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-07","2005","01","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-08","2005","01","08","","","","","","","","","","","","0.0","","4.0","","4.0","","","","","","",""
"2005-01-09","2005","01","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-10","2005","01","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-11","2005","01","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-12","2005","01","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-13","2005","01","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-14","2005","01","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-15","2005","01","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-16","2005","01","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-17","2005","01","17","","","","","","","","","","","","0.0","T","0.0","T","0.0","T","","","","","",""
"2005-01-18","2005","01","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-19","2005","01","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-20","2005","01","20","","","","","","","","","","","","0.0","","10.0","","10.0","","","","","","",""
"2005-01-21","2005","01","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-22","2005","01","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-23","2005","01","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-24","2005","01","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-25","2005","01","25","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-26","2005","01","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-27","2005","01","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-28","2005","01","28","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-29","2005","01","29","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-30","2005","01","30","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-01-31","2005","01","31","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-01","2005","02","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-02","2005","02","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-03","2005","02","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-04","2005","02","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-05","2005","02","05","","","","","","","","","","","","0.0","","2.0","","2.0","","","","","","",""
"2005-02-06","2005","02","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-07","2005","02","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-08","2005","02","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-09","2005","02","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-10","2005","02","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-11","2005","02","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-12","2005","02","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-13","2005","02","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-14","2005","02","14","","","","","","","","","","","","0.0","","1.0","","1.0","","","","","","",""
"2005-02-15","2005","02","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-16","2005","02","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-17","2005","02","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-18","2005","02","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-19","2005","02","19","","","","","","","","","","","","0.0","","2.0","","2.0","","","","","","",""
"2005-02-20","2005","02","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-21","2005","02","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-22","2005","02","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-23","2005","02","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-24","2005","02","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-25","2005","02","25","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-26","2005","02","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-27","2005","02","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-02-28","2005","02","28","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-01","2005","03","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-02","2005","03","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-03","2005","03","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-04","2005","03","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-05","2005","03","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2005-03-06","2005","03","06","","","","","","","","","","","","1.5","","2.0","","3.5","","","","","","",""
"2005-03-07","2005","03","07","","","","","","","","","","","","0.0","","1.0","","1.0","","","","","","",""
"2005-03-08","2005","03","08","","","","","","","","","","","","2.0","","0.0","","2.0","","","","","","",""
