"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"NA","Data for this day has undergone only preliminary quality checking"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (degC)","Max Temp Flag","Min Temp (degC)","Min Temp Flag","Mean Temp (degC)","Mean Temp Flag","Heat Deg Days (degC)","Heat Deg Days Flag","Cool Deg Days (degC)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-01-01","2009","01","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"2009-01-02","2009","01","02","NA","","","","","","","","","","","0.0","","16.0","","16.0","","23","","","","",""
"2009-01-03","2009","01","03","NA","","","","","","","","","","","0.0","","0.0","","0.0","","39","","","","",""
"2009-01-04","2009","01","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","39","","","","",""
"2009-01-05","2009","01","05","NA","","","","","","","","","","","0.0","","0.0","","0.0","","39","","","","",""
"2009-01-06","2009","01","06","NA","","","","","","","","","","","0.0","","0.0","","0.0","","39","","","","",""
"2009-01-07","2009","01","07","NA","","","","","","","","","","","0.0","","0.0","","0.0","","39","","","","",""
"2009-01-08","2009","01","08","NA","","","","","","","","","","","0.0","","8.0","","8.0","","39","","","","",""
"2009-01-09","2009","01","09","NA","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"2009-01-10","2009","01","10","NA","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"2009-01-11","2009","01","11","NA","","","","","","","","","","","0.0","","6.0","","6.0","","47","","","","",""
"2009-01-12","2009","01","12","NA","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2009-01-13","2009","01","13","NA","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2009-01-14","2009","01","14","NA","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2009-01-15","2009","01","15","NA","","","","","","","","","","","0.0","","1.0","","1.0","","53","","","","",""
"2009-01-16","2009","01","16","NA","","","","","","","","","","","0.0","","0.1","","0.1","","54","","","","",""
"2009-01-17","2009","01","17","NA","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"2009-01-18","2009","01","18","NA","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"2009-01-19","2009","01","19","NA","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"2009-01-20","2009","01","20","NA","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"2009-01-21","2009","01","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
