SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.11319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.71717,-0.5553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.10354,-0.37029,-0.32365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.29865,-0.78813,-0.9534,-0.89394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11457,-0.7307,-0.65778,-0.83288,-0.84921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.36931,0.11602,-0.23162,-0.22819,-0.34044,-0.36474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.91779,1.58987,1.36215,1.11954,1.09364,1.02226,0.9707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.43055,1.11431,0.98673,0.78485,0.55541,0.54575,0.4682,0.4262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.76358,0.50416,1.67761,1.51009,1.339,1.14203,1.12818,1.07662,1.03387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.66237,1.42641,0.22344,1.54174,1.40419,1.24587,1.04379,1.02977,0.97106,0.9247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.55485,-1.47616,1.02888,-0.13395,1.37295,1.27124,1.0976,0.88937,0.88124,0.81565,0.7733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.06714,-1.57268,-1.61305,0.59541,-0.43039,1.18453,1.1475,0.97671,0.77225,0.76686,0.69918,0.65618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.68839,-1.78691,-2.06286,-2.05522,0.0523,-0.79781,0.87204,0.90156,0.74793,0.55903,0.55575,0.48733,0.44918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.58469,-1.0005,-1.37906,-1.75743,-1.8579,0.16468,-0.70045,0.9344,0.95181,0.80664,0.60815,0.60573,0.54054,0.49895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.72428,0.77542,-0.26009,-0.76244,-1.22894,-1.43352,0.32892,-0.50948,0.99828,1.01354,0.87755,0.68051,0.68037,0.61793,0.57781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.97322,-0.18901,-0.01278,-0.7206,-1.07455,-1.40134,-1.57526,-0.03106,-0.73998,0.73959,0.80317,0.66254,0.46792,0.48174,0.42161,0.39145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.58684,1.19665,1.29047,1.3337,0.89754,0.58094,0.24043,0.00443,1.00213,0.26361,1.31762,1.26738,1.14947,0.97076,0.96165,0.90946,0.86883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.04931,1.70402,1.45044,1.50324,1.53205,1.27089,1.09748,0.88994,0.72812,1.33965,0.70493,1.53682,1.50119,1.40645,1.23099,1.21575,1.16866,1.12823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26531,0.90976,1.47369,1.27441,1.33258,1.38498,1.14509,0.99694,0.81575,0.66493,1.25232,0.6748,1.47086,1.4682,1.36028,1.19031,1.17748,1.13124,1.09649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.15825,-0.6979,0.30331,0.98342,0.79769,0.87387,0.93011,0.68138,0.52058,0.34446,0.17867,0.77553,0.24836,1.11455,1.1211,1.02134,0.87396,0.8737,0.82467,0.79532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.0774,-1.57322,-1.14218,-0.05269,0.66129,0.49645,0.58893,0.64738,0.40166,0.24438,0.0639,-0.08692,0.51258,0.02153,0.87955,0.92575,0.82346,0.6818,0.68471,0.63293,0.60796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.8435,-1.71553,-1.97154,-1.53858,-0.40208,0.39189,0.22212,0.32605,0.38395,0.12847,-0.03402,-0.21898,-0.36128,0.276,-0.19802,0.70226,0.76984,0.66963,0.52645,0.53433,0.48078,0.45688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.81749,-1.7797,-1.79963,-2.0017,-1.60789,-0.54432,0.28098,0.11403,0.22398,0.278,0.02318,-0.14182,-0.32438,-0.46317,0.18269,-0.27765,0.63891,0.70035,0.60157,0.45851,0.46659,0.41173,0.38955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.52441,-1.53703,-1.99408,-1.97832,-2.22103,-1.83507,-0.85536,0.05808,-0.10788,0.01273,0.06976,-0.19532,-0.36891,-0.5555,-0.69019,0.00131,-0.45926,0.48806,0.55011,0.45469,0.31346,0.32039,0.26301,0.24322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.77228,-1.51671,-1.60291,-2.03537,-2.06278,-2.30987,-1.91496,-0.95739,-0.05714,-0.2093,-0.08923,-0.02868,-0.29146,-0.46575,-0.654,-0.78121,-0.0793,-0.53403,0.41422,0.49368,0.4022,0.25822,0.26407,0.20579,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.86462,-1.09587,-1.69841,-1.79221,-2.22632,-2.22086,-2.43616,-2.09026,-1.09692,-0.16241,-0.32331,-0.19495,-0.13253,-0.39862,-0.57577,-0.76561,-0.88556,-0.17069,-0.61647,0.34872,0.43462,0.33973,0.19542,0.20224,0.14205,0.12577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.68815,0.02811,-0.36192,-1.08179,-1.28192,-1.81617,-1.85844,-2.05847,-1.81133,-0.93464,-0.06964,-0.22034,-0.09301,-0.03198,-0.2888,-0.46077,-0.64366,-0.76646,-0.08911,-0.52211,0.41012,0.49794,0.40506,0.26895,0.27751,0.22006,0.20164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.71633,0.82065,0.40844,0.05626,-0.54996,-0.75044,-1.27522,-1.51461,-1.76073,-1.55863,-0.76374,0.018,-0.1244,0.00003,0.0638,-0.172,-0.33166,-0.50124,-0.62374,0.00193,-0.40837,0.47266,0.5481,0.46272,0.33554,0.34071,0.28515,0.2658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.25531,1.32323,1.39598,1.21305,0.98743,0.55451,0.35585,-0.13275,-0.58601,-1.0462,-0.89081,-0.15527,0.46101,0.33077,0.41803,0.46541,0.25315,0.12499,-0.01939,-0.14253,0.39226,-0.01155,0.74441,0.79776,0.73472,0.61384,0.61669,0.57487,0.55304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
