"Station Name","INDIAN HEAD CDA"
"Province","SASKATCHEWAN"
"Latitude","50.55"
"Longitude","-103.65"
"Elevation","579.10"
"Climate Identifier","4013480"
"WMO Identifier","71515"
"TC Identifier","WBD"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2003-07-01 00:00","2003","07","01","00:00"," ","20.8","","15.8","","73","","12","","17","","","M","","M","25","","","","NA"
"2003-07-01 01:00","2003","07","01","01:00"," ","20.6","","15.6","","73","","14","","11","","","M","","M","25","","","","NA"
"2003-07-01 02:00","2003","07","01","02:00"," ","21.8","","15.6","","68","","17","","20","","","M","","M","26","","","","NA"
"2003-07-01 03:00","2003","07","01","03:00"," ","21.3","","16.3","","73","","20","","28","","","M","","M","26","","","","NA"
"2003-07-01 04:00","2003","07","01","04:00"," ","22.5","","12.2","","52","","15","","30","","","M","","M","25","","","","NA"
"2003-07-01 05:00","2003","07","01","05:00"," ","20.6","","11.5","","56","","15","","20","","","M","","M","","","","","NA"
"2003-07-01 06:00","2003","07","01","06:00"," ","19.9","","12.9","","64","","21","","24","","","M","","M","","","","","NA"
"2003-07-01 07:00","2003","07","01","07:00"," ","21.9","","14.8","","64","","22","","28","","","M","","M","26","","","","NA"
"2003-07-01 08:00","2003","07","01","08:00"," ","23.4","","15.5","","61","","26","","19","","","M","","M","28","","","","NA"
"2003-07-01 09:00","2003","07","01","09:00"," ","24.6","","13.2","","49","","30","","17","","","M","","M","28","","","","NA"
"2003-07-01 10:00","2003","07","01","10:00"," ","27.1","","12.4","","40","","28","","15","","","M","","M","30","","","","NA"
"2003-07-01 11:00","2003","07","01","11:00"," ","29.1","","8.8","","28","","27","","17","","","M","","M","30","","","","NA"
"2003-07-01 12:00","2003","07","01","12:00"," ","27.4","","9.3","","32","","28","","22","","","M","","M","28","","","","NA"
"2003-07-01 13:00","2003","07","01","13:00"," ","29.4","","8.5","","27","","27","","19","","","M","","M","30","","","","NA"
"2003-07-01 14:00","2003","07","01","14:00"," ","30.6","","5.8","","21","","27","","24","","","M","","M","30","","","","NA"
"2003-07-01 15:00","2003","07","01","15:00"," ","30.7","","9.0","","26","","28","","19","","","M","","M","32","","","","NA"
"2003-07-01 16:00","2003","07","01","16:00"," ","30.5","","10.5","","29","","28","","20","","","M","","M","32","","","","NA"
"2003-07-01 17:00","2003","07","01","17:00"," ","30.4","","13.2","","35","","29","","17","","","M","","M","33","","","","NA"
"2003-07-01 18:00","2003","07","01","18:00"," ","28.8","","13.9","","40","","31","","19","","","M","","M","32","","","","NA"
"2003-07-01 19:00","2003","07","01","19:00"," ","27.2","","14.9","","47","","32","","15","","","M","","M","31","","","","NA"
"2003-07-01 20:00","2003","07","01","20:00"," ","23.9","","15.4","","59","","34","","11","","","M","","M","28","","","","NA"
"2003-07-01 21:00","2003","07","01","21:00"," ","20.7","","15.7","","73","","31","","11","","","M","","M","25","","","","NA"
"2003-07-01 22:00","2003","07","01","22:00"," ","17.2","","13.7","","80","","30","","11","","","M","","M","","","","","NA"
"2003-07-01 23:00","2003","07","01","23:00"," ","16.0","","13.7","","86","","29","","11","","","M","","M","","","","","NA"
"2003-07-02 00:00","2003","07","02","00:00"," ","14.3","","13.0","","92","","31","","4","","","M","","M","","","","","NA"
"2003-07-02 01:00","2003","07","02","01:00"," ","12.0","","10.6","","91","","","","0","","","M","","M","","","","","NA"
"2003-07-02 02:00","2003","07","02","02:00"," ","11.2","","10.1","","93","","10","","4","","","M","","M","","","","","NA"
"2003-07-02 03:00","2003","07","02","03:00"," ","11.7","","10.5","","92","","14","","4","","","M","","M","","","","","NA"
"2003-07-02 04:00","2003","07","02","04:00"," ","12.7","","12.1","","96","","20","","6","","","M","","M","","","","","NA"
"2003-07-02 05:00","2003","07","02","05:00"," ","12.8","","12.2","","96","","11","","2","","","M","","M","","","","","NA"
"2003-07-02 06:00","2003","07","02","06:00"," ","16.2","","15.9","","98","","16","","6","","","M","","M","","","","","NA"
"2003-07-02 07:00","2003","07","02","07:00"," ","15.6","","15.5","","99","","","","0","","","M","","M","","","","","NA"
"2003-07-02 08:00","2003","07","02","08:00"," ","17.0","","16.7","","98","","18","","6","","","M","","M","","","","","NA"
"2003-07-02 09:00","2003","07","02","09:00"," ","20.3","","17.3","","83","","18","","15","","","M","","M","26","","","","NA"
"2003-07-02 10:00","2003","07","02","10:00"," ","24.2","","15.4","","58","","20","","26","","","M","","M","28","","","","NA"
"2003-07-02 11:00","2003","07","02","11:00"," ","27.8","","13.0","","40","","22","","24","","","M","","M","31","","","","NA"
"2003-07-02 12:00","2003","07","02","12:00"," ","29.3","","13.5","","38","","22","","24","","","M","","M","32","","","","NA"
"2003-07-02 13:00","2003","07","02","13:00"," ","30.3","","11.8","","32","","22","","32","","","M","","M","32","","","","NA"
"2003-07-02 14:00","2003","07","02","14:00"," ","31.0","","11.9","","31","","21","","32","","","M","","M","33","","","","NA"
"2003-07-02 15:00","2003","07","02","15:00"," ","31.0","","11.9","","31","","24","","24","","","M","","M","33","","","","NA"
"2003-07-02 16:00","2003","07","02","16:00"," ","29.7","","13.1","","36","","27","","20","","","M","","M","33","","","","NA"
"2003-07-02 17:00","2003","07","02","17:00"," ","28.8","","10.5","","32","","30","","30","","","M","","M","30","","","","NA"
"2003-07-02 18:00","2003","07","02","18:00"," ","28.3","","8.1","","28","","28","","22","","","M","","M","29","","","","NA"
"2003-07-02 19:00","2003","07","02","19:00"," ","26.4","","8.4","","32","","29","","28","","","M","","M","27","","","","NA"
"2003-07-02 20:00","2003","07","02","20:00"," ","23.9","","8.3","","37","","30","","20","","","M","","M","","","","","NA"
"2003-07-02 21:00","2003","07","02","21:00"," ","21.7","","7.2","","39","","29","","19","","","M","","M","","","","","NA"
"2003-07-02 22:00","2003","07","02","22:00"," ","19.9","","5.9","","40","","31","","24","","","M","","M","","","","","NA"
"2003-07-02 23:00","2003","07","02","23:00"," ","17.8","","6.0","","46","","31","","24","","","M","","M","","","","","NA"
"2003-07-03 00:00","2003","07","03","00:00"," ","15.3","","6.6","","56","","30","","19","","","M","","M","","","","","NA"
"2003-07-03 01:00","2003","07","03","01:00"," ","13.3","","6.4","","63","","28","","19","","","M","","M","","","","","NA"
"2003-07-03 02:00","2003","07","03","02:00"," ","12.1","","6.2","","67","","30","","17","","","M","","M","","","","","NA"
"2003-07-03 03:00","2003","07","03","03:00"," ","9.3","","6.6","","83","","26","","15","","","M","","M","","","","","NA"
"2003-07-03 04:00","2003","07","03","04:00"," ","8.3","","6.3","","87","","25","","11","","","M","","M","","","","","NA"
"2003-07-03 05:00","2003","07","03","05:00"," ","7.2","","6.0","","92","","20","","9","","","M","","M","","","","","NA"
"2003-07-03 06:00","2003","07","03","06:00"," ","9.2","","7.3","","88","","23","","9","","","M","","M","","","","","NA"
"2003-07-03 07:00","2003","07","03","07:00"," ","12.9","","8.2","","73","","22","","11","","","M","","M","","","","","NA"
"2003-07-03 08:00","2003","07","03","08:00"," ","16.5","","8.2","","58","","24","","17","","","M","","M","","","","","NA"
"2003-07-03 09:00","2003","07","03","09:00"," ","18.2","","7.6","","50","","26","","15","","","M","","M","","","","","NA"
"2003-07-03 10:00","2003","07","03","10:00"," ","19.8","","6.5","","42","","24","","20","","","M","","M","","","","","NA"
"2003-07-03 11:00","2003","07","03","11:00"," ","21.1","","6.6","","39","","23","","24","","","M","","M","","","","","NA"
"2003-07-03 12:00","2003","07","03","12:00"," ","22.8","","5.3","","32","","23","","24","","","M","","M","","","","","NA"
"2003-07-03 13:00","2003","07","03","13:00"," ","23.8","","5.7","","31","","23","","26","","","M","","M","","","","","NA"
"2003-07-03 14:00","2003","07","03","14:00"," ","24.4","","2.6","","24","","23","","39","","","M","","M","","","","","NA"
"2003-07-03 15:00","2003","07","03","15:00"," ","26.0","","-1.0","","17","","26","","46","","","M","","M","","","","","NA"
"2003-07-03 16:00","2003","07","03","16:00"," ","26.1","","0.7","","19","","27","","39","","","M","","M","","","","","NA"
"2003-07-03 17:00","2003","07","03","17:00"," ","25.3","","0.1","","19","","27","","39","","","M","","M","","","","","NA"
"2003-07-03 18:00","2003","07","03","18:00"," ","24.4","","0.7","","21","","26","","35","","","M","","M","","","","","NA"
"2003-07-03 19:00","2003","07","03","19:00"," ","23.3","","2.2","","25","","28","","24","","","M","","M","","","","","NA"
"2003-07-03 20:00","2003","07","03","20:00"," ","21.6","","3.8","","31","","28","","17","","","M","","M","","","","","NA"
"2003-07-03 21:00","2003","07","03","21:00"," ","18.5","","4.7","","40","","31","","20","","","M","","M","","","","","NA"
"2003-07-03 22:00","2003","07","03","22:00"," ","14.3","","4.6","","52","","28","","17","","","M","","M","","","","","NA"
"2003-07-03 23:00","2003","07","03","23:00"," ","11.9","","5.3","","64","","28","","15","","","M","","M","","","","","NA"
"2003-07-04 00:00","2003","07","04","00:00"," ","10.3","","5.5","","72","","28","","15","","","M","","M","","","","","NA"
