"Station Name","REGINA INT'L A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016560"
"WMO Identifier","71863"
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1996-01-01 00:00","1996","01","01","00:00"," ","-11.6","","-16.2","","69","","32","","19","","6.4","","94.83","","","","-20","","Snow"
"1996-01-01 01:00","1996","01","01","01:00"," ","-12.8","","-17.5","","68","","32","","17","","9.7","","94.86","","","","-21","","Snow"
"1996-01-01 02:00","1996","01","01","02:00"," ","-12.8","","-17.3","","69","","32","","19","","9.7","","94.90","","","","-21","","Snow"
"1996-01-01 03:00","1996","01","01","03:00"," ","-13.4","","-17.8","","69","","33","","17","","6.4","","94.93","","","","-21","","Snow"
"1996-01-01 04:00","1996","01","01","04:00"," ","-13.4","","-18.0","","68","","33","","17","","8.0","","94.99","","","","-21","","Snow"
"1996-01-01 05:00","1996","01","01","05:00"," ","-12.9","","-17.5","","68","","34","","15","","6.4","","95.02","","","","-20","","Snow"
"1996-01-01 06:00","1996","01","01","06:00"," ","-12.2","","-17.0","","67","","35","","13","","6.4","","95.09","","","","-19","","Snow"
"1996-01-01 07:00","1996","01","01","07:00"," ","-11.6","","-16.4","","68","","35","","15","","6.4","","95.15","","","","-19","","Snow"
"1996-01-01 08:00","1996","01","01","08:00"," ","-11.1","","-15.8","","68","","1","","17","","6.4","","95.25","","","","-19","","Snow"
"1996-01-01 09:00","1996","01","01","09:00"," ","-11.0","","-15.5","","69","","36","","19","","6.4","","95.34","","","","-19","","Snow"
"1996-01-01 10:00","1996","01","01","10:00"," ","-11.3","","-16.2","","67","","36","","15","","3.2","","95.47","","","","-18","","Snow"
"1996-01-01 11:00","1996","01","01","11:00"," ","-11.3","","-16.1","","68","","35","","22","","3.2","","95.54","","","","-20","","Snow"
"1996-01-01 12:00","1996","01","01","12:00"," ","-10.7","","-15.6","","67","","36","","24","","8.0","","95.63","","","","-19","","Snow"
"1996-01-01 13:00","1996","01","01","13:00"," ","-10.4","","-15.4","","67","","34","","22","","16.1","","95.66","","","","-19","","Snow"
"1996-01-01 14:00","1996","01","01","14:00"," ","-10.4","","-15.4","","67","","35","","24","","12.9","","95.73","","","","-19","","Snow"
"1996-01-01 15:00","1996","01","01","15:00"," ","-11.0","","-16.0","","67","","34","","26","","16.1","","95.79","","","","-20","","Snow"
"1996-01-01 16:00","1996","01","01","16:00"," ","-12.1","","-17.1","","66","","33","","19","","24.1","","95.92","","","","-20","","Snow"
"1996-01-01 17:00","1996","01","01","17:00"," ","-13.8","","-18.8","","66","","32","","19","","24.1","","96.02","","","","-22","","Snow"
"1996-01-01 18:00","1996","01","01","18:00"," ","-15.8","","-20.7","","66","","33","","11","","24.1","","96.05","","","","-23","","Snow"
"1996-01-01 19:00","1996","01","01","19:00"," ","-16.7","","-22.2","","62","","33","","15","","24.1","","96.14","","","","-25","","Snow"
"1996-01-01 20:00","1996","01","01","20:00"," ","-16.6","","-22.0","","63","","31","","13","","24.1","","96.14","","","","-24","","Snow"
"1996-01-01 21:00","1996","01","01","21:00"," ","-15.8","","-21.1","","64","","32","","13","","24.1","","96.21","","","","-23","","Snow"
"1996-01-01 22:00","1996","01","01","22:00"," ","-15.5","","-20.7","","64","","34","","9","","19.3","","96.21","","","","-21","","Snow"
"1996-01-01 23:00","1996","01","01","23:00"," ","-15.6","","-20.9","","64","","31","","11","","24.1","","96.18","","","","-22","","Snow"
"1996-01-02 00:00","1996","01","02","00:00"," ","-15.7","","-21.0","","64","","","","0","","24.1","","96.14","","","","","","Snow"
"1996-01-02 01:00","1996","01","02","01:00"," ","-18.2","","-23.1","","65","","28","","6","","24.1","","96.05","","","","-23","","Snow"
"1996-01-02 02:00","1996","01","02","02:00"," ","-20.5","","-25.6","","64","","","","0","","24.1","","95.98","","","","","","Snow"
"1996-01-02 03:00","1996","01","02","03:00"," ","-19.2","","-25.1","","60","","21","","6","","24.1","","95.89","","","","-24","","Snow"
"1996-01-02 04:00","1996","01","02","04:00"," ","-16.5","","-21.7","","64","","22","","7","","24.1","","95.89","","","","-22","","Snow"
"1996-01-02 05:00","1996","01","02","05:00"," ","-15.9","","-21.1","","64","","16","","7","","24.1","","95.76","","","","-21","","Snow"
"1996-01-02 06:00","1996","01","02","06:00"," ","-17.2","","-22.3","","64","","14","","9","","24.1","","95.66","","","","-23","","Snow"
"1996-01-02 07:00","1996","01","02","07:00"," ","-16.6","","-22.0","","63","","13","","17","","24.1","","95.50","","","","-25","","Snow"
"1996-01-02 08:00","1996","01","02","08:00"," ","-16.0","","-21.3","","64","","15","","22","","19.3","","95.41","","","","-26","","Snow"
"1996-01-02 09:00","1996","01","02","09:00"," ","-15.8","","-21.0","","64","","15","","22","","24.1","","95.31","","","","-26","","Snow"
"1996-01-02 10:00","1996","01","02","10:00"," ","-15.5","","-20.6","","65","","14","","30","","24.1","","95.25","","","","-27","","Snow"
"1996-01-02 11:00","1996","01","02","11:00"," ","-15.1","","-20.3","","64","","15","","26","","24.1","","95.09","","","","-25","","Mostly Cloudy"
"1996-01-02 12:00","1996","01","02","12:00"," ","-14.3","","-19.7","","64","","14","","28","","24.1","","95.02","","","","-25","","Cloudy"
"1996-01-02 13:00","1996","01","02","13:00"," ","-14.4","","-19.8","","64","","15","","28","","24.1","","94.77","","","","-25","","Cloudy"
"1996-01-02 14:00","1996","01","02","14:00"," ","-14.1","","-19.6","","63","","13","","32","","24.1","","94.58","","","","-25","","Snow"
"1996-01-02 15:00","1996","01","02","15:00"," ","-14.5","","-19.9","","63","","13","","32","","16.1","","94.42","","","","-26","","Snow"
"1996-01-02 16:00","1996","01","02","16:00"," ","-13.7","","-19.2","","63","","13","","43","","16.1","","94.35","","","","-26","","Snow"
"1996-01-02 17:00","1996","01","02","17:00"," ","-13.1","","-18.7","","63","","13","","37","","16.1","","94.26","","","","-25","","Snow"
"1996-01-02 18:00","1996","01","02","18:00"," ","-12.4","","-17.7","","65","","14","","35","","16.1","","94.19","","","","-23","","Snow"
"1996-01-02 19:00","1996","01","02","19:00"," ","-12.1","","-17.1","","66","","14","","33","","16.1","","94.16","","","","-23","","Snow"
"1996-01-02 20:00","1996","01","02","20:00"," ","-11.9","","-16.7","","67","","15","","37","","16.1","","93.97","","","","-23","","Snow"
"1996-01-02 21:00","1996","01","02","21:00"," ","-11.7","","-16.4","","68","","14","","32","","16.1","","93.81","","","","-22","","Snow"
"1996-01-02 22:00","1996","01","02","22:00"," ","-11.2","","-16.0","","68","","14","","28","","24.1","","93.74","","","","-21","","Snow"
"1996-01-02 23:00","1996","01","02","23:00"," ","-10.6","","-15.5","","67","","12","","28","","24.1","","93.68","","","","-20","","Snow"
"1996-01-03 00:00","1996","01","03","00:00"," ","-10.4","","-15.0","","69","","14","","19","","24.1","","93.65","","","","-18","","Snow"
"1996-01-03 01:00","1996","01","03","01:00"," ","-9.8","","-14.6","","68","","13","","15","","24.1","","93.52","","","","-16","","Snow"
