"Station Name","YORKTON A"
"Province","SASKATCHEWAN"
"Latitude","51.27"
"Longitude","-102.47"
"Elevation","498.30"
"Climate Identifier","4019080"
"WMO Identifier","71138"
"TC Identifier","YQV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1999-04-01 00:00","1999","04","01","00:00"," ","-2.5","","-5.0","","83","","3","","17","","24.1","","95.86","","","","-8","","Mostly Cloudy"
"1999-04-01 01:00","1999","04","01","01:00"," ","-2.5","","-4.9","","84","","2","","13","","24.1","","95.93","","","","-7","","Cloudy"
"1999-04-01 02:00","1999","04","01","02:00"," ","-3.7","","-5.4","","88","","3","","9","","24.1","","95.99","","","","-7","","Mainly Clear"
"1999-04-01 03:00","1999","04","01","03:00"," ","-4.1","","-5.4","","91","","2","","11","","24.1","","96.06","","","","-9","","Mainly Clear"
"1999-04-01 04:00","1999","04","01","04:00"," ","-4.3","","-5.9","","89","","2","","11","","24.1","","96.12","","","","-9","","Mainly Clear"
"1999-04-01 05:00","1999","04","01","05:00"," ","-4.2","","-6.2","","86","","36","","17","","24.1","","96.15","","","","-10","","Mostly Cloudy"
"1999-04-01 06:00","1999","04","01","06:00"," ","-4.5","","-6.5","","86","","1","","15","","24.1","","96.15","","","","-10","","Mostly Cloudy"
"1999-04-01 07:00","1999","04","01","07:00"," ","-4.4","","-7.4","","80","","2","","15","","24.1","","96.28","","","","-10","","Mostly Cloudy"
"1999-04-01 08:00","1999","04","01","08:00"," ","-4.2","","-6.6","","83","","1","","20","","24.1","","96.28","","","","-11","","Mostly Cloudy"
"1999-04-01 09:00","1999","04","01","09:00"," ","-3.2","","-6.9","","76","","3","","17","","24.1","","96.35","","","","-9","","Mostly Cloudy"
