"Station Name","OUTLOOK PFRA"
"Province","SASKATCHEWAN"
"Latitude","51.48"
"Longitude","-107.05"
"Elevation","541.00"
"Climate Identifier","4055736"
"WMO Identifier","71551"
"TC Identifier","WYE"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2009-06-01 00:00","2009","06","01","00:00"," ","14.0","","-2.1","","33","","33","","13","","","","94.94","","","","","","NA"
"2009-06-01 01:00","2009","06","01","01:00"," ","13.1","","-1.1","","37","","33","","7","","","","95.02","","","","","","NA"
"2009-06-01 02:00","2009","06","01","02:00"," ","12.8","","-0.2","","41","","33","","17","","","","95.08","","","","","","NA"
"2009-06-01 03:00","2009","06","01","03:00"," ","12.5","","0.4","","43","","30","","17","","","","95.19","","","","","","NA"
"2009-06-01 04:00","2009","06","01","04:00"," ","12.0","","1.7","","49","","31","","19","","","","95.25","","","","","","NA"
"2009-06-01 05:00","2009","06","01","05:00"," ","10.1","","1.6","","55","","32","","20","","","","95.32","","","","","","NA"
"2009-06-01 06:00","2009","06","01","06:00"," ","9.0","","2.0","","61","","31","","22","","","","95.38","","","","","","NA"
"2009-06-01 07:00","2009","06","01","07:00"," ","8.7","","2.8","","66","","31","","24","","","","95.46","","","","","","NA"
"2009-06-01 08:00","2009","06","01","08:00"," ","10.3","","4.1","","65","","33","","20","","","","95.53","","","","","","NA"
"2009-06-01 09:00","2009","06","01","09:00"," ","10.7","","4.0","","63","","32","","22","","","","95.58","","","","","","NA"
"2009-06-01 10:00","2009","06","01","10:00"," ","11.2","","3.7","","60","","34","","19","","","","95.62","","","","","","NA"
"2009-06-01 11:00","2009","06","01","11:00"," ","10.1","","3.4","","63","","34","","19","","","","95.69","","","","","","NA"
"2009-06-01 12:00","2009","06","01","12:00"," ","9.1","","4.6","","73","","1","","28","","","","95.79","","","","","","NA"
"2009-06-01 13:00","2009","06","01","13:00"," ","10.3","","4.1","","65","","2","","26","","","","95.90","","","","","","NA"
"2009-06-01 14:00","2009","06","01","14:00"," ","10.8","","3.0","","59","","1","","24","","","","95.94","","","","","","NA"
"2009-06-01 15:00","2009","06","01","15:00"," ","11.8","","0.9","","47","","36","","22","","","","95.96","","","","","","NA"
"2009-06-01 16:00","2009","06","01","16:00"," ","13.6","","-1.1","","36","","35","","19","","","","95.95","","","","","","NA"
"2009-06-01 17:00","2009","06","01","17:00"," ","13.9","","-2.1","","33","","1","","19","","","","95.96","","","","","","NA"
"2009-06-01 18:00","2009","06","01","18:00"," ","14.6","","-2.3","","31","","1","","17","","","","95.95","","","","","","NA"
"2009-06-01 19:00","2009","06","01","19:00"," ","14.8","","-3.9","","27","","36","","19","","","","95.96","","","","","","NA"
"2009-06-01 20:00","2009","06","01","20:00"," ","13.7","","-3.1","","31","","36","","13","","","","96.00","","","","","","NA"
"2009-06-01 21:00","2009","06","01","21:00"," ","12.0","","-2.7","","36","","1","","6","","","","96.03","","","","","","NA"
"2009-06-01 22:00","2009","06","01","22:00"," ","9.0","","-1.1","","49","","30","","6","","","","96.09","","","","","","NA"
"2009-06-01 23:00","2009","06","01","23:00"," ","7.0","","-1.7","","54","","32","","6","","","","96.17","","","","","","NA"
"2009-06-02 00:00","2009","06","02","00:00"," ","6.2","","-1.8","","56","","1","","6","","","","96.23","","","","","","NA"
