"Station Name","YORKTON"
"Province","SASKATCHEWAN"
"Latitude","51.26"
"Longitude","-102.46"
"Elevation","498.30"
"Climate Identifier","4019085"
"WMO Identifier","71138"
"TC Identifier","YQV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2009-07-01 00:00","2009","07","01","00:00"," ","15.0","","7.7","","62","","13","","22","","15.0","","95.59","","","","","",""
"2009-07-01 01:00","2009","07","01","01:00"," ","15.4","","8.5","","63","","14","","13","","15.0","","95.69","","","","","",""
"2009-07-01 02:00","2009","07","01","02:00"," ","15.3","","8.7","","65","","10","","7","","15.0","","95.71","","","","","",""
"2009-07-01 03:00","2009","07","01","03:00"," ","14.8","","9.2","","69","","","","0","","15.0","","95.84","","","","","","Heavy Rain"
"2009-07-01 04:00","2009","07","01","04:00"," ","13.8","","8.9","","72","","9","","19","","15.0","","95.73","","","","","",""
"2009-07-01 05:00","2009","07","01","05:00"," ","14.0","","8.6","","70","","13","","17","","15.0","","95.68","","","","","",""
"2009-07-01 06:00","2009","07","01","06:00"," ","14.6","","9.4","","71","","14","","19","","15.0","","95.70","","","","","",""
"2009-07-01 07:00","2009","07","01","07:00"," ","14.9","","10.0","","72","","14","","20","","15.0","","95.72","","","","","","Rain"
"2009-07-01 08:00","2009","07","01","08:00"," ","16.1","","11.1","","72","","17","","7","","15.0","","95.78","","","","","",""
"2009-07-01 09:00","2009","07","01","09:00"," ","17.9","","12.0","","68","","11","","15","","15.0","","95.80","","","","","",""
"2009-07-01 10:00","2009","07","01","10:00"," ","18.3","","11.8","","66","","11","","15","","15.0","","95.81","","","","","",""
"2009-07-01 11:00","2009","07","01","11:00"," ","19.8","","12.0","","61","","13","","13","","15.0","","95.80","","","","","",""
"2009-07-01 12:00","2009","07","01","12:00"," ","20.1","","11.4","","57","","15","","13","","15.0","","95.81","","","","","",""
"2009-07-01 13:00","2009","07","01","13:00"," ","19.4","","10.9","","58","","11","","9","","15.0","","95.82","","","","","",""
"2009-07-01 14:00","2009","07","01","14:00"," ","19.4","","13.0","","66","","5","","9","","15.0","","95.82","","","","","",""
"2009-07-01 15:00","2009","07","01","15:00"," ","20.2","","13.9","","67","","6","","13","","15.0","","95.84","","","","","",""
"2009-07-01 16:00","2009","07","01","16:00"," ","19.2","","13.7","","70","","4","","15","","15.0","","95.86","","","","","",""
