"Station Name","YORKTON"
"Province","SASKATCHEWAN"
"Latitude","51.26"
"Longitude","-102.46"
"Elevation","498.30"
"Climate Identifier","4019075"
"WMO Identifier","71292"
"TC Identifier","YQV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-09-01 00:00","2013","09","01","00:00","x","13.3","","12.7","","96","","36","","9","","16.1","","95.87","","","","","","NA"
"2013-09-01 01:00","2013","09","01","01:00","x","13.4","","12.8","","96","","35","","5","","16.1","","95.90","","","","","","NA"
"2013-09-01 02:00","2013","09","01","02:00","x","13.3","","12.7","","96","","36","","8","","16.1","","95.93","","","","","","NA"
"2013-09-01 03:00","2013","09","01","03:00","x","13.2","","12.6","","96","","35","","8","","16.1","","95.96","","","","","","NA"
"2013-09-01 04:00","2013","09","01","04:00","x","13.2","","12.6","","96","","36","","5","","16.1","","95.98","","","","","","NA"
"2013-09-01 05:00","2013","09","01","05:00","x","13.0","","12.4","","96","","36","","5","","16.1","","96.00","","","","","","NA"
"2013-09-01 06:00","2013","09","01","06:00","x","11.6","","11.1","","97","","8","","5","","8.1","","96.04","","","","","","NA"
"2013-09-01 07:00","2013","09","01","07:00","x","10.8","","10.4","","97","","5","","4","","0.2","","96.07","","","","","","NA"
"2013-09-01 08:00","2013","09","01","08:00","x","11.8","","11.5","","98","","","M","4","","6.4","","96.11","","","","","","NA"
"2013-09-01 09:00","2013","09","01","09:00","x","14.9","","12.6","","86","","14","","5","","16.1","","96.14","","","","","","NA"
"2013-09-01 10:00","2013","09","01","10:00","x","16.2","","10.0","","66","","22","","11","","16.1","","96.15","","","","","","NA"
"2013-09-01 11:00","2013","09","01","11:00","x","17.9","","10.0","","60","","21","","11","","16.1","","96.13","","","","","","NA"
"2013-09-01 12:00","2013","09","01","12:00","x","19.1","","10.4","","57","","","M","9","","16.1","","96.07","","","","","","NA"
"2013-09-01 13:00","2013","09","01","13:00","x","18.7","","10.3","","58","","","M","4","","16.1","","96.06","","","","","","NA"
"2013-09-01 14:00","2013","09","01","14:00","x","19.4","","9.8","","54","","19","","8","","16.1","","96.03","","","","","","NA"
"2013-09-01 15:00","2013","09","01","15:00","x","20.8","","11.1","","53","","24","","17","","16.1","","96.00","","","","","","NA"
