"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-04-01 00:00","2015","04","01","00:00","x","8.2","","5.0","","80","","14","","22","","24.1","","93.10","","","","","","Cloudy"
"2015-04-01 01:00","2015","04","01","01:00","x","8.5","","5.4","","81","","19","","4","","24.1","","93.11","","","","","","Rain"
"2015-04-01 02:00","2015","04","01","02:00","x","9.1","","6.0","","81","","30","","26","","19.3","","93.16","","","","","","Rain"
"2015-04-01 03:00","2015","04","01","03:00","x","8.4","","6.4","","87","","28","","19","","9.7","","93.20","","","","","","Rain"
"2015-04-01 04:00","2015","04","01","04:00","x","7.3","","6.3","","93","","36","","3","","19.3","","93.08","","","","","","Rain"
"2015-04-01 05:00","2015","04","01","05:00","x","7.1","","5.6","","90","","24","","17","","24.1","","93.13","","","","","","NA"
"2015-04-01 06:00","2015","04","01","06:00","x","5.4","","3.9","","90","","28","","20","","24.1","","93.15","","","","","","Mainly Clear"
"2015-04-01 07:00","2015","04","01","07:00","x","5.0","","3.5","","90","","30","","30","","24.1","","93.17","","","","","","NA"
"2015-04-01 08:00","2015","04","01","08:00","x","4.6","","3.0","","89","","30","","26","","24.1","","93.25","","","","","","NA"
"2015-04-01 09:00","2015","04","01","09:00","x","5.7","","3.1","","83","","30","","35","","24.1","","93.26","","","","","","Mostly Cloudy"
